method,hidden,seed,accuracy,modularity_Q,regularity_W1,regularity_W2,regularity_mean,erank_W1,erank_W2,erank_W1_norm,erank_W2_norm,robustness_auc_abs,robustness_auc_rel,weight_rms,dead_neuron_frac,si_mean,si_std,si_frac_high
ES,128,2,0.924299955368042,0.1519894,0.07327208227040816,0.06699218750000002,0.07013213488520409,125.14862823486328,9.81103801727295,0.9777236580848694,0.9811038017272949,0.8777079744338989,0.8744107801914216,1.047107613156877,0.0,0.5234875803874148,0.1397812635869567,0.5859375
ES,128,3,0.9251999855041504,0.14852604,0.07293327487244894,0.06679687499999998,0.06986507493622446,125.22713470458984,9.837902069091797,0.9783369898796082,0.9837902069091797,0.8885507781505584,0.8756689743995667,1.1413748826670762,0.0,0.5429017515347153,0.13109975359177278,0.5703125
ES,128,4,0.921999990940094,0.14632902,0.07357601243622447,0.06484374999999998,0.06920988121811222,125.2149429321289,9.831689834594727,0.9782417416572571,0.9831689834594727,0.8775541763305663,0.8762469753026962,1.0299940072066716,0.0,0.5408779564195123,0.13720948591799445,0.578125
ES,256,0,0.9239999651908875,0.14808871,0.07334806481186229,0.07119140624999998,0.07226973553093113,244.37710571289062,9.931121826171875,0.954598069190979,0.9931121826171875,0.88282317340374,0.8665303788185119,1.0784518607729148,0.0,0.4737548443632919,0.13487658916084797,0.390625
ES,256,1,0.9233999848365784,0.15357882,0.07337173150510201,0.06982421875,0.071597975127551,244.2670135498047,9.914002418518066,0.9541680216789246,0.9914002418518066,0.8833609746694565,0.8741121786832808,1.085366566375892,0.0,0.4814800426681398,0.14103551185772073,0.45703125
ES,256,2,0.9233999848365784,0.15334259,0.0735299246651786,0.07119140624999998,0.07236066545758929,244.36065673828125,9.932707786560059,0.9545338153839111,0.9932707786560059,0.8825323791503907,0.8713493727445601,1.06262921479359,0.0,0.49258340660532396,0.13822399885298742,0.4609375
ES,256,3,0.9195999503135681,0.14671187,0.0734078543526786,0.07207031249999996,0.07273908342633928,244.30767822265625,9.935315132141113,0.954326868057251,0.9935315132141114,0.8734169808626175,0.8682041753530503,1.0650787287812953,0.0,0.4905567569465693,0.1357023553148751,0.4609375
ES,256,4,0.9213999509811401,0.1495159,0.07335802973533168,0.07304687499999996,0.07320245236766582,244.35610961914062,9.912041664123535,0.9545160531997681,0.9912041664123535,0.8735757796764374,0.8662181806564331,1.0626976271671413,0.0,0.4788813571842758,0.13571949049848672,0.4140625
GD,32,0,0.9648999571800232,0.15415497,0.06644610969387754,0.03125,0.04884805484693877,29.614530563354492,9.577218055725098,0.9254540801048279,0.9577218055725097,0.4405425879955292,0.8841557800769806,0.0942680019867073,0.0,0.4788296788105746,0.16575323015121407,0.46875
GD,32,1,0.9702999591827393,0.17621219,0.06680484693877553,0.03281250000000002,0.049808673469387776,29.709238052368164,9.3873291015625,0.9284136891365051,0.93873291015625,0.4340291882753372,0.8920643736124038,0.0939693450711648,0.0,0.46916670238109565,0.1553831441150151,0.5
GD,32,2,0.9677000045776367,0.1601249,0.06567881058673475,0.02734375,0.046511280293367374,29.194185256958008,9.527396202087402,0.9123182892799377,0.9527396202087403,0.42879038786888124,0.8838295720815659,0.09309968920401031,0.0625,0.455190126463483,0.18763927437149805,0.40625
GD,32,3,0.9656999707221985,0.14642978,0.06787109375,0.028906250000000022,0.04838867187500001,29.687294006347656,9.516979217529297,0.9277279376983643,0.9516979217529297,0.4381957904100418,0.8742037839889526,0.09126279615182803,0.0,0.45678285067825153,0.1477795986116547,0.46875
GD,32,4,0.9681999683380127,0.17479815,0.06729312818877553,0.032031249999999956,0.04966218909438774,29.83291244506836,9.432650566101074,0.9322785139083862,0.9432650566101074,0.421755790412426,0.8734101822376251,0.09159285791438149,0.0,0.4563856948263857,0.1858370631742009,0.3125
GD,64,0,0.9747999906539917,0.17748946,0.06710877710459184,0.05429687500000002,0.06070282605229593,56.12290573120117,9.552634239196777,0.8769204020500183,0.9552634239196778,0.4093963903784752,0.9228641786575317,0.08090393809120582,0.015625,0.44893844225951884,0.15303412259940044,0.296875
